Employees ID,IT Code,Name,Gender,Job Grade,Job Department,Home Department,Employee Type,Job Type,DOJ
A10010,10009,Aahana Sharma,Female,Manger Level,Operation,Customer Care,Support,Support,13-09-2013
A10011,10010,SHAHILA BANO,Female,Manger Level,Operation,Customer Care,Support,Support,06-08-2017
A10012,10011,Taabish Faruqui,Male,Manger Level,Operation,Customer Care,Support,Support,09-05-2010
A10022,10021,Gaurangi Kumari,Female,Manger Level,Operation,Customer Care,Support,Support,15-06-2016
A10023,10022,Deepa Kumari,Female,Manger Level,Operation,Customer Care,Support,Support,19-11-2017
A10024,10023,Aytan Khan,Female,TL Level,Operation,Customer Care,Support,Support,17-09-2016
A10025,10024,Upasna Kumari,Female,TL Level,Operation,Customer Care,Support,Support,12-10-2020
A10026,10025,Bishakha Sharma,Female,TL Level,Operation,Customer Care,Support,Support,17-10-2016
A10027,10026,Chandrakant kapoor,Male,TL Level,Operation,Customer Care,Support,Support,14-02-2022
A10028,10027,Ash-Shir Khan,Female,TL Level,Operation,Customer Care,Support,Support,19-05-2016
A10029,10028,Watika Kumari,Female,TL Level,Operation,Customer Care,Support,Support,18-06-2015
A10030,10029,Aalim Khan,Male,TL Level,Operation,Customer Care,Support,Support,11-04-2015
A10031,10030,Vaishnavi Kumari,Female,TL Level,Operation,Customer Care,Support,Support,09-11-2022
A10032,10031,Neel Sharma,Male,TL Level,Operation,Customer Care,Support,Support,02-07-2018
A10033,10032,Karim Ansari,Male,TL Level,Operation,Customer Care,Support,Support,16-05-2022
A10034,10033,Liban Saify,Male,TL Level,Operation,Customer Care,Support,Support,17-08-2022
A10035,10034,Seda Khan,Female,TL Level,Operation,Customer Care,Support,Support,08-09-2019
A10036,10035,Neerav,Male,TL Level,Operation,Customer Care,Support,Support,15-03-2021
A10082,10081,Ernesh,Male,Staff Level,Operation,Customer Care,Floor,Support,02-Sep-22
A10083,10082,Dayita Kumari,Female,Staff Level,Operation,Customer Care,Floor,Support,22-Jun-21
A10084,10083,Dayamai Kumari,Female,Staff Level,Operation,Customer Care,Floor,Support,13-Nov-20
A10085,10084,Faakhir Khan,Male,Staff Level,Operation,Customer Care,Floor,Support,28-Dec-21
A10086,10085,Aleah Khan,Female,Staff Level,Operation,Customer Care,Floor,Support,27-Nov-22
A10087,10086,Golnar Khan,Female,Staff Level,Operation,Customer Care,Floor,Support,05-May-21
A10088,10087,Habib Meer,Male,Staff Level,Operation,Customer Care,Floor,Support,14-Feb-22
A10089,10088,Gamal Saify,Male,Staff Level,Operation,Customer Care,Floor,Support,06-Aug-20
A10090,10089,Baber Siddique,Male,Staff Level,Operation,Customer Care,Floor,Support,12-Mar-21
A10091,10090,Bhavesh,Male,Staff Level,Operation,Customer Care,Floor,Support,02-Aug-21
A10092,10091,Owez Hussain,Male,Staff Level,Operation,Customer Care,Floor,Support,19-Sep-21
A10093,10092,Haakim Hussain,Male,Staff Level,Operation,Customer Care,Floor,Support,21-Jul-22
